ID,Date,Customer_ID,Gender,Age,Product_Category,Quantity,Price,Total_Amount,,,,,
1,11/24/2023,CUST001,Male,34,Beauty,3,50,150,,,,,
2,2/27/2023,CUST002,Female,26,Clothing,2,500,1000,,,,,
3,1/13/2023,CUST003,Male,50,Electronics,1,30,30,,,,,
4,5/21/2023,CUST004,Male,37,Clothing,1,500,500,,,,,
5,5/6/2023,CUST005,Male,30,Beauty,2,50,100,,,,,
6,4/25/2023,CUST006,Female,45,Beauty,1,30,30,,,,,
7,3/13/2023,CUST007,Male,46,Clothing,2,25,50,,,,,
8,2/22/2023,CUST008,Male,30,Electronics,4,25,100,,,,,
9,12/13/2023,CUST009,Male,63,Electronics,2,300,600,,,,,
10,10/7/2023,CUST010,Female,52,Clothing,4,50,200,,,,,
11,2/14/2023,CUST011,Male,23,Clothing,2,50,100,,,,,
12,10/30/2023,CUST012,Male,35,Beauty,3,25,75,,,,,
13,8/5/2023,CUST013,Male,22,Electronics,3,500,1500,,,,,
14,1/17/2023,CUST014,Male,64,Clothing,4,30,120,,,,,
15,1/16/2023,CUST015,Female,42,Electronics,4,500,2000,,,,,
16,2/17/2023,CUST016,Male,19,Clothing,3,500,1500,,,,,
17,4/22/2023,CUST017,Female,27,Clothing,4,25,100,,,,,
18,4/30/2023,CUST018,Female,47,Electronics,2,25,50,,,,,
19,9/16/2023,CUST019,Female,62,Clothing,2,25,50,,,,,
20,11/5/2023,CUST020,Male,22,Clothing,3,300,900,,,,,
21,1/14/2023,CUST021,Female,50,Beauty,1,500,500,,,,,
22,10/15/2023,CUST022,Male,18,Clothing,2,50,100,,,,,
23,4/12/2023,CUST023,Female,35,Clothing,4,30,120,,,,,
24,11/29/2023,CUST024,Female,49,Clothing,1,300,300,,,,,
25,12/26/2023,CUST025,Female,64,Beauty,1,50,50,,,,,
26,10/7/2023,CUST026,Female,28,Electronics,2,500,1000,,,,,
27,8/3/2023,CUST027,Female,38,Beauty,2,25,50,,,,,
28,4/23/2023,CUST028,Female,43,Beauty,1,500,500,,,,,
29,8/18/2023,CUST029,Female,42,Electronics,1,30,30,,,,,
30,10/29/2023,CUST030,Female,39,Beauty,3,300,900,,,,,
31,5/23/2023,CUST031,Male,44,Electronics,4,300,1200,,,,,
32,1/4/2023,CUST032,Male,30,Beauty,3,30,90,,,,,
33,3/23/2023,CUST033,Female,50,Electronics,2,50,100,,,,,
34,12/24/2023,CUST034,Female,51,Clothing,3,50,150,,,,,
35,8/5/2023,CUST035,Female,58,Beauty,3,300,900,,,,,
36,6/24/2023,CUST036,Male,52,Beauty,3,300,900,,,,,
37,5/23/2023,CUST037,Female,18,Beauty,3,25,75,,,,,
38,3/21/2023,CUST038,Male,38,Beauty,4,50,200,,,,,
39,4/21/2023,CUST039,Male,23,Clothing,4,30,120,,,,,
40,6/22/2023,CUST040,Male,45,Beauty,1,50,50,,,,,
41,2/22/2023,CUST041,Male,34,Clothing,2,25,50,,,,,
42,2/17/2023,CUST042,Male,22,Clothing,3,300,900,,,,,
43,7/14/2023,CUST043,Female,48,Clothing,1,300,300,,,,,
44,2/19/2023,CUST044,Female,22,Clothing,1,25,25,,,,,
45,7/3/2023,CUST045,Female,55,Electronics,1,30,30,,,,,
46,6/26/2023,CUST046,Female,20,Electronics,4,300,1200,,,,,
47,11/6/2023,CUST047,Female,40,Beauty,3,500,1500,,,,,
48,5/16/2023,CUST048,Male,54,Electronics,3,300,900,,,,,
49,1/23/2023,CUST049,Female,54,Electronics,2,500,1000,,,,,
50,8/24/2023,CUST050,Female,27,Beauty,3,25,75,,,,,
51,10/2/2023,CUST051,Male,27,Beauty,3,25,75,,,,,
52,3/5/2023,CUST052,Female,36,Beauty,1,300,300,,,,,
53,7/13/2023,CUST053,Male,34,Electronics,2,50,100,,,,,
54,2/10/2023,CUST054,Female,38,Electronics,3,500,1500,,,,,
55,10/10/2023,CUST055,Male,31,Beauty,4,30,120,,,,,
56,5/31/2023,CUST056,Female,26,Clothing,3,300,900,,,,,
57,11/18/2023,CUST057,Female,63,Beauty,1,30,30,,,,,
58,11/13/2023,CUST058,Male,18,Clothing,4,300,1200,,,,,
59,7/5/2023,CUST059,Male,62,Clothing,1,50,50,,,,,
60,10/23/2023,CUST060,Male,30,Beauty,3,50,150,,,,,
61,4/9/2023,CUST061,Male,21,Beauty,4,50,200,,,,,
62,12/27/2023,CUST062,Male,18,Beauty,2,50,100,,,,,
63,2/5/2023,CUST063,Male,57,Electronics,2,25,50,,,,,
64,1/24/2023,CUST064,Male,49,Clothing,4,25,100,,,,,
65,12/5/2023,CUST065,Male,51,Electronics,4,500,2000,,,,,
66,4/27/2023,CUST066,Female,45,Electronics,1,30,30,,,,,
67,5/29/2023,CUST067,Female,48,Beauty,4,300,1200,,,,,
68,2/10/2023,CUST068,Male,25,Electronics,1,300,300,,,,,
69,4/30/2023,CUST069,Female,56,Beauty,3,25,75,,,,,
70,2/21/2023,CUST070,Female,43,Clothing,1,300,300,,,,,
71,7/14/2023,CUST071,Female,51,Beauty,4,25,100,,,,,
